1	merkazit_krayot	1	-1.#IND	1.#INF	1.00006	0	0.0166667	-1.#IND	-1.#IND	1	0	0	0	-1.#IND	89.9983	-1.#IND	0	
104	hutzot_hamifratz	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
104	hutzot_hamifratz	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
104	hutzot_hamifratz	33	360.553	5.24943	4940.92	0	0	24.3913	0.292351	0	1	0	0	0	0	0	0	
105	shenkar	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
105	shenkar	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
105	shenkar	33	360.61	5.24943	5969.53	0	0	25.2426	0.292351	0	1	0	0	0	0	0	0	
106	mote_gur	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
106	mote_gur	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
107	ben_zvi	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
107	ben_zvi	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
108	kiryat_haim	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
108	kiryat_haim	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
109	goshen	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
110	efraim	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
111	haasor	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
112	kiryon	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
113	zvulon	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
114	ein_afek	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
115	tzur_shalom	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
116	neve_ganim	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
117	hairiya	33	360.005	5.24943	10.1031	0	0	0.400223	0.292351	1	0	0	0	0	0	0	0	
118	lev_hadar_N	33	360.102	5.24943	72.6764	0	0	2.1168	0.292351	0	1	0	0	0	0	0	0	
119	shuk_talpiot_N	33	360.055	5.24943	221.852	0	0	2.48527	0.292351	0	1	0	0	0	0	0	0	
120	yalag	33	360.061	5.24943	504.603	0	0	2.54383	0.292351	0	1	0	0	0	0	0	0	
121	halisa	33	359.835	5.24943	863.891	0	0	9.97905	0.292351	0	1	0	0	0	0	0	0	
122	hagiborim	33	359.571	5.24943	1314.71	0	0	10.2936	0.292351	0	1	0	0	0	0	0	0	
123	hashaish	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
124	halutzei_hatasia	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
125	alexander_zaid	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
126	haitztadyon	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
127	dgania	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
