161	1	4	1	4953.37	4953.37	1	1	-0.849623	1	
164	1	4	1	4978.26	4978.26	1	1	-0.641386	1	
160	1	4	1	4933.9	4933.9	1	1	-0.81625	1	
169	1	4	1	5096.87	5096.87	1	1	-0.714112	1	
170	1	4	1	5138.5	5138.5	1	1	-0.179126	1	
172	1	4	1	5178.22	5178.22	1	1	-0.358299	1	
163	1	4	1	4976.96	4976.96	1	1	-0.15477	1	
179	1	4	1	5357.9	5357.9	1	1	-0.562511	1	
180	1	4	1	5359.53	5359.53	1	1	-0.31699	1	
182	1	4	1	5382.26	5382.26	1	1	-0.49913	1	
178	1	4	1	5332.2	5332.2	1	1	-0.608942	1	
181	1	4	1	5379.98	5379.98	1	1	-0.630341	1	
3	1	4	1	1907.13	1907.13	1	1	-1.01045	1	
4	1	4	1	1940.83	1940.83	1	1	-0.920492	1	
5	1	4	1	1956.5	1956.5	1	1	-0.656704	1	
6	1	4	1	1976.97	1976.97	1	1	-0.817779	1	
7	1	4	1	1982.35	1982.35	1	1	-0.706377	1	
8	1	4	1	1987.19	1987.19	1	1	-0.96056	1	
9	1	4	1	2060.45	2060.45	1	1	-0.56893	1	
10	1	4	1	2082.95	2082.95	1	1	-0.942346	1	
11	1	4	1	2083.5	2083.5	1	1	-0.741884	1	
0	1	4	1	1807.18	1807.18	1	1	-1.14172	1	
1	1	4	1	1835.71	1835.71	1	1	-1.12635	1	
2	1	4	1	1882.38	1882.38	1	1	-0.767087	1	
12	1	4	1	2129.26	2129.26	1	1	-0.685701	1	
13	1	4	1	2192.68	2192.68	1	1	-0.88208	1	
14	1	4	1	2224.1	2224.1	1	1	-0.979393	1	
15	1	4	1	2272.47	2272.47	1	1	-0.478108	1	
16	1	4	1	2299.72	2299.72	1	1	-0.896964	1	
19	1	4	1	2350.45	2350.45	1	1	-0.57875	1	
25	1	4	1	2502.69	2502.69	1	1	-0.64862	1	
23	1	4	1	2428.2	2428.2	1	1	-0.49241	1	
18	1	4	1	2315.32	2315.32	1	1	-0.673888	1	
21	1	4	1	2391.83	2391.83	1	1	-0.758828	1	
17	1	4	1	2300.33	2300.33	1	1	-0.443698	1	
20	1	4	1	2351.98	2351.98	1	1	-0.509968	1	
24	1	4	1	2452.51	2452.51	1	1	-0.661726	1	
22	1	4	1	2409.65	2409.65	1	1	-0.586146	1	
33	1	4	1	2641.36	2641.36	1	1	-0.63457	1	
40	1	4	1	2724.1	2724.1	1	1	-0.704323	1	
35	1	4	1	2647.53	2647.53	1	1	-1.02193	1	
34	1	4	1	2643.53	2643.53	1	1	-0.761007	1	
28	1	4	1	2507.56	2507.56	1	1	-0.628944	1	
39	1	4	1	2690.39	2690.39	1	1	-0.794814	1	
42	1	4	1	2755.38	2755.38	1	1	-0.783777	1	
37	1	4	1	2680.14	2680.14	1	1	-0.485228	1	
43	1	4	1	2767.58	2767.58	1	1	-0.634332	1	
27	1	4	1	2506.59	2506.59	1	1	-0.594849	1	
31	1	4	1	2575.94	2575.94	1	1	-0.748431	1	
32	1	4	1	2636.4	2636.4	1	1	-0.774921	1	
38	1	4	1	2686.46	2686.46	1	1	-0.892067	1	
44	1	4	1	2798.27	2798.27	1	1	-0.529386	1	
41	1	4	1	2743.34	2743.34	1	1	-0.72923	1	
26	1	4	1	2503.86	2503.86	1	1	-0.419655	1	
29	1	4	1	2570.89	2570.89	1	1	-0.744308	1	
30	1	4	1	2575.24	2575.24	1	1	-0.641555	1	
36	1	4	1	2661.57	2661.57	1	1	-0.677391	1	
55	1	4	1	2918.79	2918.79	1	1	-0.774808	1	
53	1	4	1	2896.63	2896.63	1	1	-0.938502	1	
46	1	4	1	2811.82	2811.82	1	1	-0.699544	1	
61	1	4	1	2948.28	2948.28	1	1	-0.739632	1	
49	1	4	1	2870.4	2870.4	1	1	-1.01284	1	
58	1	4	1	2931.4	2931.4	1	1	-0.922395	1	
60	1	4	1	2946.89	2946.89	1	1	-1.07918	1	
54	1	4	1	2897.5	2897.5	1	1	-0.603925	1	
45	1	4	1	2802.09	2802.09	1	1	-0.940849	1	
48	1	4	1	2866.98	2866.98	1	1	-0.554125	1	
51	1	4	1	2887.07	2887.07	1	1	-0.846762	1	
57	1	4	1	2921.21	2921.21	1	1	-0.557716	1	
56	1	4	1	2921.2	2921.2	1	1	-0.86189	1	
50	1	4	1	2878.16	2878.16	1	1	-0.734393	1	
62	1	4	1	2952.48	2952.48	1	1	-0.934329	1	
47	1	4	1	2834.86	2834.86	1	1	-0.656294	1	
59	1	4	1	2942.55	2942.55	1	1	-0.661637	1	
63	1	4	1	2967.65	2967.65	1	1	-0.957658	1	
52	1	4	1	2892.88	2892.88	1	1	-1.01566	1	
73	1	4	1	3242.27	3242.27	1	1	-0.893409	1	
65	1	4	1	3063.61	3063.61	1	1	-0.70793	1	
64	1	4	1	3045.01	3045.01	1	1	-0.637879	1	
